Team,Runs,AB,PA,Hits,Singles,Doubles,Triples,HR,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS
Red Sox,878,5670,6320,1598,1022,343,25,208,558,34,1160,43,40,8,137,83,24
Rockies,845,5614,6236,1544,975,318,47,204,494,35,1330,40,34,54,113,66,39
Cubs,808,5503,6335,1409,887,293,30,199,656,45,1339,96,37,42,108,66,34
Cardinals,779,5548,6223,1416,859,300,32,225,526,28,1318,70,41,37,117,35,26
Indians,777,5484,6155,1435,913,308,29,185,531,16,1246,49,60,31,137,134,31
Mariners,768,5583,6227,1446,955,251,17,223,506,29,1288,72,41,24,138,56,28
Rangers,765,5525,6089,1446,951,257,23,215,436,23,1220,70,40,18,114,99,36
Nationals,763,5491,6202,1403,903,268,29,203,536,49,1253,64,63,48,102,121,39
Blue Jays,759,5479,6233,1358,843,276,18,221,632,16,1362,55,40,26,153,54,24
Diamondbacks,752,5665,6260,1479,948,285,56,190,463,43,1427,50,38,43,117,137,31
Tigers,750,5526,6127,1476,983,252,30,211,493,32,1303,53,38,17,135,58,29
Orioles,744,5524,6089,1413,889,265,6,253,468,19,1324,44,36,17,119,19,13
Pirates,729,5542,6261,1426,964,277,32,153,561,39,1334,81,36,41,133,110,45
Dodgers,725,5518,6164,1375,893,272,21,189,525,31,1321,58,32,30,120,45,26
Astros,724,5545,6204,1367,849,291,29,198,554,31,1452,47,31,27,134,102,44
Twins,722,5618,6245,1409,886,288,35,200,513,24,1426,44,43,27,96,91,32
Angels,717,5431,6041,1410,955,279,20,156,471,21,991,51,49,36,147,73,34
Reds,716,5487,6094,1403,929,277,33,164,452,37,1284,52,44,58,129,139,51
Giants,715,5565,6271,1437,973,280,54,130,572,43,1107,42,46,42,120,79,36
White Sox,686,5550,6131,1428,950,277,33,168,455,16,1285,53,44,29,122,77,36
Padres,686,5419,6000,1275,815,257,26,177,449,30,1500,58,36,36,93,125,45
Yankees,680,5458,6058,1377,929,245,20,183,475,19,1188,42,49,21,121,72,22
Royals,675,5552,6052,1450,1006,264,33,147,382,23,1224,45,34,38,134,121,35
Rays,672,5481,6046,1333,797,288,32,216,449,20,1482,69,28,18,88,60,37
Brewers,671,5330,6061,1299,837,249,19,194,599,34,1543,37,39,53,132,181,56
Mets,671,5459,6115,1342,865,240,19,218,517,43,1302,62,41,35,124,42,18
Marlins,655,5547,6133,1460,1031,259,42,128,447,40,1213,54,38,46,140,71,28
Athletics,653,5500,6022,1352,892,270,21,169,442,19,1145,33,34,13,142,50,23
Braves,649,5514,6192,1404,960,295,27,122,502,60,1240,59,52,64,145,75,34
Phillies,610,5434,5992,1306,879,231,35,161,424,33,1376,58,30,46,111,96,45
